	minimum	maximum
EX_ala_L_e	0.0	0.0081344423842062
EX_arg_L_e	-0.0101373438224108	0.0
EX_asn_L_e	-0.00583359256589797	0.0
EX_asp_L_e	-0.00959405479991621	0.0
EX_chol_e	-0.0009478504142272785	-9.478504142272792e-06
EX_cit_e	0.0	0.00217236794873405
EX_co2_e	0.3614986786646439	31.292400447745734
EX_glc_e	-5.0	-0.002751887098274085
EX_gln_L_e	-0.0878815507948709	-0.00019889486536837467
EX_glu_L_e	-0.00669482376697556	0.0
EX_gly_e	-0.00738205614816154	0.0
EX_ile_L_e	-0.0212556395653472	-8.571700545161024e-05
EX_lac_L_e	0.0	1.593742561180696
EX_leu_L_e	-0.0226239513340666	-0.00014706186428927427
EX_lys_L_e	-0.0188433023673326	-0.0001481406608489781
EX_nh4_e	-0.04881370982318185	0.3802270157331422
EX_o2_e	-8.0	-0.2876486812331248
EX_orn_e	-0.000901866820618997	0.0
EX_phe_L_e	-0.00590380298884837	-4.576305786752441e-05
EX_pi_e	-0.019630904454722695	-0.00019630904453697923
EX_pro_L_e	-0.00161876212983099	0.000160845642210364
EX_ser_L_e	-0.0175987045718589	0.0
EX_thr_L_e	-0.0101313639875666	-0.00010131363987566599
EX_trp_L_e	-0.00143239849592226	-1.0680024557230469e-05
EX_tyr_L_e	-0.00804113830444889	0.0
EX_urea_e	0.0	0.17276790982409898
EX_val_L_e	-0.0119642163334375	-0.00010333725540026821
EX_mal_L_e	0.0	0.000398619727127086
