x,y,z,cell_type,volume
7.5,-52.5,-7.5,MCF7_core,1798.9816800434378
7.5,-52.5,7.5,MCF7_core,3132.1300597245877
7.5,-37.5,-7.5,MCF7_core,4167.628853990438
7.5,-37.5,7.5,MCF7_core,1280.648990089122
7.5,-22.5,-7.5,MCF7_core,640.8461457387077
7.5,-22.5,7.5,MCF7_core,2842.4119430606384
7.5,-7.5,-7.5,MCF7_core,3201.4978245599395
7.5,-7.5,7.5,MCF7_core,3441.9911053617984
7.5,7.5,-7.5,MCF7_core,1310.7012410220927
7.5,7.5,7.5,MCF7_core,1874.8256841899147
7.5,22.5,-7.5,MCF7_core,2596.6080001257183
7.5,22.5,7.5,MCF7_core,4029.171582924204
7.5,37.5,-7.5,MCF7_core,4147.475550199906
7.5,37.5,7.5,MCF7_core,3776.6783994371763
7.5,52.5,-7.5,MCF7_core,3729.0386222488146
7.5,52.5,7.5,MCF7_core,2226.5110846284047
22.5,-52.5,-7.5,MCF7_core,2777.2243368279214
22.5,-52.5,7.5,MCF7_core,1998.936859062557
22.5,-37.5,-7.5,MCF7_core,3685.467011546922
22.5,-37.5,7.5,MCF7_core,1781.232771079505
22.5,-22.5,-7.5,MCF7_core,1399.995513920743
22.5,-22.5,7.5,MCF7_core,2919.7919440084015
22.5,-7.5,-7.5,MCF7_core,1736.5689024451592
22.5,-7.5,7.5,MCF7_core,3783.8214852607784
22.5,7.5,-7.5,MCF7_core,3564.525908507949
22.5,7.5,7.5,MCF7_core,1068.7187469611915
22.5,22.5,-7.5,MCF7_core,1924.5118825175405
22.5,22.5,7.5,MCF7_core,936.2221205074221
22.5,37.5,-7.5,MCF7_core,568.8840315033377
22.5,37.5,7.5,MCF7_core,292.0356559922171
22.5,52.5,-7.5,MCF7_core,366.4773552512604
22.5,52.5,7.5,MCF7_core,493.9466068924246
37.5,-52.5,-7.5,MCF7_core,4443.460084342879
37.5,-52.5,7.5,MCF7_core,1322.7881797736047
37.5,-37.5,-7.5,MCF7_core,1213.4750835149403
37.5,-37.5,7.5,MCF7_core,2422.798918102331
37.5,-22.5,-7.5,MCF7_core,2071.052911970833
37.5,-22.5,7.5,MCF7_core,3086.5991340501046
37.5,-7.5,-7.5,MCF7_core,1291.3852899842188
37.5,-7.5,7.5,MCF7_core,3839.969747937017
37.5,7.5,-7.5,MCF7_core,4150.780955135912
37.5,7.5,7.5,MCF7_core,2826.178835051507
37.5,22.5,-7.5,MCF7_core,2473.0095254252183
37.5,22.5,7.5,MCF7_core,3141.1158573355196
37.5,37.5,-7.5,MCF7_core,837.9187435751161
37.5,37.5,7.5,MCF7_core,442.88427292134094
37.5,52.5,-7.5,MCF7_core,2254.9979911362725
37.5,52.5,7.5,MCF7_core,948.3027891489535
52.5,-52.5,-7.5,MCF7_core,1783.6690034745282
52.5,-52.5,7.5,MCF7_core,1051.0412516711133
52.5,-37.5,-7.5,MCF7_core,2336.946570842324
52.5,-37.5,7.5,MCF7_core,3569.774798354997
52.5,-22.5,-7.5,MCF7_core,3642.291166643722
52.5,-22.5,7.5,MCF7_core,2696.415340270451
52.5,-7.5,-7.5,MCF7_core,4009.905876915722
52.5,-7.5,7.5,MCF7_core,536.449309160028
52.5,7.5,-7.5,MCF7_core,3443.173775334867
52.5,7.5,7.5,MCF7_core,2988.1689775319883
52.5,22.5,-7.5,MCF7_core,3261.330234037385
52.5,22.5,7.5,MCF7_core,1125.5932726195795
52.5,37.5,-7.5,MCF7_core,484.09537829903826
52.5,37.5,7.5,MCF7_core,1745.9246366922694
52.5,52.5,-7.5,MCF7_core,3218.5310167909843
52.5,52.5,7.5,MCF7_core,2661.874722750714
67.5,-52.5,-7.5,MCF7_core,1556.5281718432573
67.5,-52.5,7.5,MCF7_core,3545.2713682333715
67.5,-37.5,-7.5,MCF7_core,3775.706269681866
67.5,-37.5,7.5,MCF7_core,2466.0660678083923
67.5,-22.5,-7.5,MCF7_core,562.1743343231826
67.5,-22.5,7.5,MCF7_core,2703.458521020685
67.5,-7.5,-7.5,MCF7_core,3639.2404960378294
67.5,-7.5,7.5,MCF7_core,4052.1923726814184
67.5,7.5,-7.5,MCF7_core,3460.494125605436
67.5,7.5,7.5,MCF7_core,3029.2267166619354
67.5,22.5,-7.5,MCF7_core,3626.9362527093217
67.5,22.5,7.5,MCF7_core,1232.2712351688017
67.5,37.5,-7.5,MCF7_core,941.6934776489378
67.5,37.5,7.5,MCF7_core,1265.9521267837126
67.5,52.5,-7.5,MCF7_core,2672.151247892836
67.5,52.5,7.5,MCF7_core,2688.803235926254
82.5,-52.5,-7.5,MCF7_core,3269.0920288656766
82.5,-52.5,7.5,MCF7_core,1978.3844368518567
82.5,-37.5,-7.5,MCF7_core,546.360270712457
82.5,-37.5,7.5,MCF7_core,4336.702856516763
82.5,-22.5,-7.5,MCF7_core,2038.4169330893446
82.5,-22.5,7.5,MCF7_core,3713.4655976874947
82.5,-7.5,-7.5,MCF7_core,2966.806441183753
82.5,-7.5,7.5,MCF7_core,2442.319319611356
82.5,7.5,-7.5,MCF7_core,3946.1342125886263
82.5,7.5,7.5,MCF7_core,594.5381382520305
82.5,22.5,-7.5,MCF7_core,755.7410711714523
82.5,22.5,7.5,MCF7_core,939.2468051518637
82.5,37.5,-7.5,MCF7_core,2007.1399684226776
82.5,37.5,7.5,MCF7_core,1403.1151688186924
82.5,52.5,-7.5,MCF7_core,388.93833855897515
82.5,52.5,7.5,MCF7_core,2266.0762056660596
97.5,-52.5,-7.5,MCF7_core,4478.952956422614
97.5,-52.5,7.5,MCF7_core,3578.900801226683
97.5,-37.5,-7.5,MCF7_core,986.5221498407559
97.5,-37.5,7.5,MCF7_core,370.75925294084936
97.5,-22.5,-7.5,MCF7_core,4474.374923869563
97.5,-22.5,7.5,MCF7_core,4139.064780680972
97.5,-7.5,-7.5,MCF7_core,2674.0780740195587
97.5,-7.5,7.5,MCF7_core,3985.0354225184315
97.5,7.5,-7.5,MCF7_core,797.3709121804997
97.5,7.5,7.5,MCF7_core,2218.542782475941
97.5,22.5,-7.5,MCF7_core,3677.785672982799
97.5,22.5,7.5,MCF7_core,1603.357925420313
97.5,37.5,-7.5,MCF7_core,1619.6186831109744
97.5,37.5,7.5,MCF7_core,2536.7024057039075
97.5,52.5,-7.5,MCF7_core,3413.7287007517502
97.5,52.5,7.5,MCF7_core,1202.4367810312117
112.5,-52.5,-7.5,MCF7_core,806.5666136665792
112.5,-52.5,7.5,MCF7_core,1393.1227917154395
112.5,-37.5,-7.5,MCF7_core,3378.204102105681
112.5,-37.5,7.5,MCF7_core,3401.691603507789
112.5,-22.5,-7.5,MCF7_core,3362.8175382586396
112.5,-22.5,7.5,MCF7_core,1423.538640207717
112.5,-7.5,-7.5,MCF7_core,887.3052925057655
112.5,-7.5,7.5,MCF7_core,4063.315070054997
112.5,7.5,-7.5,MCF7_core,992.6569705295447
112.5,7.5,7.5,MCF7_core,2518.915292495419
112.5,22.5,-7.5,MCF7_core,407.1117276564941
112.5,22.5,7.5,MCF7_core,2664.263700344063
112.5,37.5,-7.5,MCF7_core,1582.7539696931929
112.5,37.5,7.5,MCF7_core,1119.8037089739287
112.5,52.5,-7.5,MCF7_core,3584.973292729014
112.5,52.5,7.5,MCF7_core,1329.656507014754
127.5,-52.5,-7.5,MCF7_core,3062.634191487073
127.5,-52.5,7.5,MCF7_core,3791.3380627670476
127.5,-37.5,-7.5,MCF7_core,1650.0265208565233
127.5,-37.5,7.5,MCF7_core,2757.439451554627
127.5,-22.5,-7.5,MCF7_core,1625.9561691212846
127.5,-22.5,7.5,MCF7_core,3622.694448859783
127.5,-7.5,-7.5,MCF7_core,2720.946352875954
127.5,-7.5,7.5,MCF7_core,1220.9620527344534
127.5,7.5,-7.5,MCF7_core,3383.643542685071
127.5,7.5,7.5,MCF7_core,1759.2844802192133
127.5,22.5,-7.5,MCF7_core,1160.3837504959931
127.5,22.5,7.5,MCF7_core,3017.0355277800527
127.5,37.5,-7.5,MCF7_core,3374.269377924493
127.5,37.5,7.5,MCF7_core,726.0205007688434
127.5,52.5,-7.5,MCF7_core,4310.466428681025
127.5,52.5,7.5,MCF7_core,4449.47775626995
142.5,-52.5,-7.5,MCF7_core,3799.5877163636515
142.5,-52.5,7.5,MCF7_core,1215.7749513436522
142.5,-37.5,-7.5,MCF7_core,819.3685147129446
142.5,-37.5,7.5,MCF7_core,3899.227166456289
142.5,-22.5,-7.5,MCF7_core,1862.5953984251946
142.5,-22.5,7.5,MCF7_core,1801.242551662098
142.5,-7.5,-7.5,MCF7_core,1322.1805145132964
142.5,-7.5,7.5,MCF7_core,346.9473066581743
142.5,7.5,-7.5,MCF7_core,2477.9303146245006
142.5,7.5,7.5,MCF7_core,2767.8238907846844
142.5,22.5,-7.5,MCF7_core,3171.2475550916106
142.5,22.5,7.5,MCF7_core,2414.0300233625057
142.5,37.5,-7.5,MCF7_core,3572.843953230672
142.5,37.5,7.5,MCF7_core,1038.2764776920408
142.5,52.5,-7.5,MCF7_core,4144.701249251064
142.5,52.5,7.5,MCF7_core,1841.0441033725576
157.5,-52.5,-7.5,MCF7_core,2068.530871663347
157.5,-52.5,7.5,MCF7_core,4190.519479350731
157.5,-37.5,-7.5,MCF7_core,2937.4214050660526
157.5,-37.5,7.5,MCF7_core,1189.9712406512847
157.5,-22.5,-7.5,MCF7_core,976.9904385130797
157.5,-22.5,7.5,MCF7_core,1983.8112553440787
157.5,-7.5,-7.5,MCF7_core,4199.143813502871
157.5,-7.5,7.5,MCF7_core,3480.1191848679077
157.5,7.5,-7.5,MCF7_core,4294.2128737952435
157.5,7.5,7.5,MCF7_core,3871.171732817465
157.5,22.5,-7.5,MCF7_core,3134.4072457400116
157.5,22.5,7.5,MCF7_core,1935.8728911550675
157.5,37.5,-7.5,MCF7_core,3148.5626378657194
157.5,37.5,7.5,MCF7_core,1763.7749171454918
157.5,52.5,-7.5,MCF7_core,1386.1713993683452
157.5,52.5,7.5,MCF7_core,2154.552765992478
172.5,-52.5,-7.5,MCF7_core,4157.934384677203
172.5,-52.5,7.5,MCF7_core,3925.531888269613
172.5,-37.5,-7.5,MCF7_core,1049.3201513616457
172.5,-37.5,7.5,MCF7_core,3351.6020354571897
172.5,-22.5,-7.5,MCF7_core,266.1512247041907
172.5,-22.5,7.5,MCF7_core,705.2888421315006
172.5,-7.5,-7.5,MCF7_core,4047.6192203955325
172.5,-7.5,7.5,MCF7_core,1052.8026425103171
172.5,7.5,-7.5,MCF7_core,2126.8984801194056
172.5,7.5,7.5,MCF7_core,1586.5379144105736
172.5,22.5,-7.5,MCF7_core,2336.8869257688725
172.5,22.5,7.5,MCF7_core,3294.4168520240282
172.5,37.5,-7.5,MCF7_core,2487.024162790462
172.5,37.5,7.5,MCF7_core,3137.466104348589
172.5,52.5,-7.5,MCF7_core,3705.790259659781
172.5,52.5,7.5,MCF7_core,3384.734740178935
187.5,-52.5,-7.5,MCF7_core,3068.4506745946414
187.5,-52.5,7.5,MCF7_core,2981.9902340651324
187.5,-37.5,-7.5,MCF7_core,1714.334911209492
187.5,-37.5,7.5,MCF7_core,2572.248036837622
187.5,-22.5,-7.5,MCF7_core,2674.890429714545
187.5,-22.5,7.5,MCF7_core,3379.639434040905
187.5,-7.5,-7.5,MCF7_core,2575.895301167226
187.5,-7.5,7.5,MCF7_core,1543.0263411622034
187.5,7.5,-7.5,MCF7_core,407.5833582988384
187.5,7.5,7.5,MCF7_core,2863.8275101518325
187.5,22.5,-7.5,MCF7_core,2731.458690386266
187.5,22.5,7.5,MCF7_core,2438.704986256537
187.5,37.5,-7.5,MCF7_core,3834.7623919213565
187.5,37.5,7.5,MCF7_core,1305.975338351517
187.5,52.5,-7.5,MCF7_core,382.3897705430579
187.5,52.5,7.5,MCF7_core,2820.507370022077
202.5,-52.5,-7.5,MCF7_core,3480.5377990859733
202.5,-52.5,7.5,MCF7_core,365.90313380456325
202.5,-37.5,-7.5,MCF7_core,310.81034032874487
202.5,-37.5,7.5,MCF7_core,2066.1552135799616
202.5,-22.5,-7.5,MCF7_core,3435.9403472708727
202.5,-22.5,7.5,MCF7_core,1246.142481056318
202.5,-7.5,-7.5,MCF7_core,2074.08234365387
202.5,-7.5,7.5,MCF7_core,3078.976797901734
202.5,7.5,-7.5,MCF7_core,3274.4921914826223
202.5,7.5,7.5,MCF7_core,4220.33098957731
202.5,22.5,-7.5,MCF7_core,576.4187323133264
202.5,22.5,7.5,MCF7_core,2601.1487462914433
202.5,37.5,-7.5,MCF7_core,1415.0183291521637
202.5,37.5,7.5,MCF7_core,857.0516325183629
202.5,52.5,-7.5,MCF7_core,4261.343330240847
202.5,52.5,7.5,MCF7_core,1288.8122332055375
217.5,-52.5,-7.5,MCF7_core,2827.2984602780493
217.5,-52.5,7.5,MCF7_core,3335.1538794802095
217.5,-37.5,-7.5,MCF7_core,3938.055277296478
217.5,-37.5,7.5,MCF7_core,3141.9421128838217
217.5,-22.5,-7.5,MCF7_core,1081.1527273460151
217.5,-22.5,7.5,MCF7_core,934.0997063667734
217.5,-7.5,-7.5,MCF7_core,3078.434549172275
217.5,-7.5,7.5,MCF7_core,1634.7010928841214
217.5,7.5,-7.5,MCF7_core,3230.6540948055545
217.5,7.5,7.5,MCF7_core,844.1148375646561
217.5,22.5,-7.5,MCF7_core,1351.2373587827103
217.5,22.5,7.5,MCF7_core,1348.2762962527675
217.5,37.5,-7.5,MCF7_core,3528.731098435229
217.5,37.5,7.5,MCF7_core,3379.827164787969
217.5,52.5,-7.5,MCF7_core,3359.7066205217566
217.5,52.5,7.5,MCF7_core,396.94528897023315
232.5,-52.5,-7.5,MCF7_core,716.342908045813
232.5,-52.5,7.5,MCF7_core,3800.7887823325227
232.5,-37.5,-7.5,MCF7_core,1251.3694768771907
232.5,-37.5,7.5,MCF7_core,3371.7107713088108
232.5,-22.5,-7.5,MCF7_core,4177.186777973862
232.5,-22.5,7.5,MCF7_core,3535.0682575846054
232.5,-7.5,-7.5,MCF7_core,1120.6077667265026
232.5,-7.5,7.5,MCF7_core,3157.741098592672
232.5,7.5,-7.5,MCF7_core,2401.4272396820306
232.5,7.5,7.5,MCF7_core,2654.0078185105535
