x,y,z,type
364,38,0,Tumor
-145,-245,0,Tumor
-193,264,0,Tumor
-176,-295,0,Tumor
326,-24,0,Tumor
-169,-304,0,Tumor
318,49,0,Tumor
-168,242,0,Tumor
-142,-280,0,Tumor
335,21,0,Tumor
-190,273,0,Tumor
-160,331,0,Tumor
-146,-317,0,Tumor
372,2,0,Tumor
-198,-260,0,Tumor
351,-27,0,Tumor
-139,252,0,Tumor
288,50,0,Tumor
-128,-243,0,Tumor
-148,285,0,Tumor
-176,277,0,Tumor
-206,267,0,Tumor
-199,-272,0,Tumor
364,-41,0,Tumor
-202,-308,0,Tumor
-186,-238,0,Tumor
318,-3,0,Tumor
327,-6,0,Tumor
-132,-275,0,Tumor
-129,-304,0,Tumor
-179,-321,0,Tumor
-150,264,0,Tumor
-123,-275,0,Tumor
288,45,0,Tumor
-170,-247,0,Tumor
328,-8,0,Tumor
-206,-270,0,Tumor
338,-19,0,Tumor
-174,-240,0,Tumor
-199,266,0,Tumor
-133,-276,0,Tumor
321,-5,0,Tumor
-129,-324,0,Tumor
-176,253,0,Tumor
349,9,0,Tumor
-173,332,0,Tumor
307,22,0,Tumor
-213,-277,0,Tumor
-149,316,0,Tumor
333,-17,0,Tumor
-174,-285,0,Tumor
-191,-275,0,Tumor
352,-38,0,Tumor
-156,244,0,Tumor
-141,-330,0,Tumor
376,48,0,Tumor
-213,320,0,Tumor
-140,-294,0,Tumor
323,4,0,Tumor
-138,335,0,Tumor
-168,-325,0,Tumor
-169,331,0,Tumor
330,11,0,Tumor
350,9,0,Tumor
-119,-307,0,Tumor
291,-14,0,Tumor
305,-40,0,Tumor
317,47,0,Tumor
-151,-245,0,Tumor
-185,273,0,Tumor
-134,273,0,Tumor
317,29,0,Tumor
-142,-295,0,Tumor
-209,306,0,Tumor
-211,-332,0,Tumor
-129,244,0,Tumor
364,-39,0,Tumor
-210,243,0,Tumor
-209,-287,0,Tumor
317,-23,0,Tumor
-138,266,0,Tumor
-162,-317,0,Tumor
331,-9,0,Tumor
-117,299,0,Tumor
-212,296,0,Tumor
-194,315,0,Tumor
-204,-299,0,Tumor
337,-20,0,Tumor
332,-50,0,Tumor
-136,238,0,Tumor
299,-19,0,Tumor
329,-15,0,Tumor
321,-16,0,Tumor
-147,-306,0,Tumor
332,-25,0,Tumor
-168,257,0,Tumor
347,-32,0,Tumor
320,-7,0,Tumor
370,-36,0,Tumor
-167,-268,0,Tumor
-158,-300,0,Tumor
-204,-246,0,Tumor
-152,-290,0,Tumor
-152,266,0,Tumor
-200,-239,0,Tumor
-147,-249,0,Tumor
316,17,0,Tumor
-195,-297,0,Tumor
-159,-276,0,Tumor
-150,-289,0,Tumor
-203,-268,0,Tumor
-129,245,0,Tumor
-167,-255,0,Tumor
283,35,0,Tumor
-143,-315,0,Tumor
-153,248,0,Tumor
-158,278,0,Tumor
-136,-251,0,Tumor
290,36,0,Tumor
339,0,0,Tumor
-192,320,0,Tumor
-160,306,0,Tumor
-147,338,0,Tumor
303,34,0,Tumor
-177,-265,0,Tumor
343,24,0,Tumor
336,1,0,Tumor
-185,334,0,Tumor
376,-27,0,Tumor
-170,-333,0,Tumor
-130,287,0,Tumor
366,-28,0,Tumor
322,-15,0,Tumor
-187,319,0,Tumor
-197,332,0,Tumor
-199,-259,0,Tumor
372,7,0,Tumor
-124,-273,0,Tumor
-159,-297,0,Tumor
353,-13,0,Tumor
334,-49,0,Tumor
311,-15,0,Tumor
376,16,0,Tumor
376,5,0,Tumor
-149,-286,0,Tumor
358,-36,0,Tumor
-160,-296,0,Tumor
298,-19,0,Tumor
-165,-323,0,Tumor
339,-48,0,Tumor
-183,-289,0,Tumor
331,35,0,Tumor
-201,-289,0,Tumor
342,5,0,Tumor
344,49,0,Tumor
-191,-329,0,Tumor
-117,276,0,Tumor
-159,-301,0,Tumor
-120,316,0,Tumor
-198,245,0,Tumor
-216,295,0,Tumor
-159,246,0,Tumor
-126,-277,0,Tumor
-142,258,0,Tumor
286,16,0,Tumor
-161,-320,0,Tumor
-170,259,0,Tumor
-175,-278,0,Tumor
