x,y,z,type
364,38,0,Tumor
-145,-245,0,Tumor
-193,264,0,Tumor
-176,-295,0,Tumor
326,-24,0,Tumor
-169,-304,0,Tumor
318,49,0,Tumor
-168,242,0,Tumor
-142,-280,0,Tumor
335,21,0,Tumor
-190,273,0,Tumor
-160,331,0,Tumor
-146,-317,0,Tumor
372,2,0,Tumor
-198,-260,0,Tumor
351,-27,0,Tumor
-139,252,0,Tumor
288,50,0,Tumor
-128,-243,0,Tumor
-148,285,0,Tumor
-176,277,0,Tumor
-206,267,0,Tumor
-199,-272,0,Tumor
364,-41,0,Tumor
-202,-308,0,Tumor
-186,-238,0,Tumor
318,-3,0,Tumor
327,-6,0,Tumor
-132,-275,0,Tumor
-129,-304,0,Tumor
-179,-321,0,Tumor
-150,264,0,Tumor
-123,-275,0,Tumor
288,45,0,Tumor
-170,-247,0,Tumor
328,-8,0,Tumor
-206,-270,0,Tumor
338,-19,0,Tumor
-174,-240,0,Tumor
-199,266,0,Tumor
-133,-276,0,Tumor
321,-5,0,Tumor
-129,-324,0,Tumor
-176,253,0,Tumor
349,9,0,Tumor
-173,332,0,Tumor
307,22,0,Tumor
-213,-277,0,Tumor
-149,316,0,Tumor
333,-17,0,Tumor
-174,-285,0,Tumor
-191,-275,0,Tumor
352,-38,0,Tumor
-156,244,0,Tumor
-141,-330,0,Tumor
376,48,0,Tumor
-213,320,0,Tumor
-140,-294,0,Tumor
323,4,0,Tumor
-138,335,0,Tumor
-168,-325,0,Tumor
-169,331,0,Tumor
330,11,0,Tumor
350,9,0,Tumor
-119,-307,0,Tumor
291,-14,0,Tumor
305,-40,0,Tumor
317,47,0,Tumor
-151,-245,0,Tumor
-185,273,0,Tumor
-134,273,0,Tumor
317,29,0,Tumor
-142,-295,0,Tumor
-209,306,0,Tumor
-211,-332,0,Tumor
-129,244,0,Tumor
364,-39,0,Tumor
-210,243,0,Tumor
-209,-287,0,Tumor
317,-23,0,Tumor
-138,266,0,Tumor
-162,-317,0,Tumor
331,-9,0,Tumor
-117,299,0,Tumor
-212,296,0,Tumor
-194,315,0,Tumor
-204,-299,0,Tumor
337,-20,0,Tumor
332,-50,0,Tumor
-136,238,0,Tumor
299,-19,0,Tumor
329,-15,0,Tumor
321,-16,0,Tumor
-147,-306,0,Tumor
332,-25,0,Tumor
-168,257,0,Tumor
347,-32,0,Tumor
320,-7,0,Tumor
370,-36,0,Tumor
-167,-268,0,Tumor
-158,-300,0,Tumor
-204,-246,0,Tumor
-152,-290,0,Tumor
-152,266,0,Tumor
-200,-239,0,Tumor
-147,-249,0,Tumor
316,17,0,Tumor
-195,-297,0,Tumor
-159,-276,0,Tumor
-150,-289,0,Tumor
-203,-268,0,Tumor
-129,245,0,Tumor
-167,-255,0,Tumor
283,35,0,Tumor
-143,-315,0,Tumor
-153,248,0,Tumor
-158,278,0,Tumor
-136,-251,0,Tumor
290,36,0,Tumor
339,0,0,Tumor
-192,320,0,Tumor
-160,306,0,Tumor
-147,338,0,Tumor
303,34,0,Tumor
-177,-265,0,Tumor
343,24,0,Tumor
336,1,0,Tumor
-185,334,0,Tumor
376,-27,0,Tumor
-170,-333,0,Tumor
-130,287,0,Tumor
366,-28,0,Tumor
322,-15,0,Tumor
-187,319,0,Tumor
-197,332,0,Tumor
-199,-259,0,Tumor
372,7,0,Tumor
-124,-273,0,Tumor
-159,-297,0,Tumor
353,-13,0,Tumor
334,-49,0,Tumor
311,-15,0,Tumor
376,16,0,Tumor
376,5,0,Tumor
-149,-286,0,Tumor
358,-36,0,Tumor
-160,-296,0,Tumor
298,-19,0,Tumor
-165,-323,0,Tumor
339,-48,0,Tumor
-183,-289,0,Tumor
331,35,0,Tumor
-201,-289,0,Tumor
342,5,0,Tumor
344,49,0,Tumor
-191,-329,0,Tumor
-117,276,0,Tumor
-159,-301,0,Tumor
-120,316,0,Tumor
-198,245,0,Tumor
-216,295,0,Tumor
-159,246,0,Tumor
-126,-277,0,Tumor
-142,258,0,Tumor
286,16,0,Tumor
-161,-320,0,Tumor
-170,259,0,Tumor
-175,-278,0,Tumor
337,135,0,TCell
-273,-245,0,TCell
440,-121,0,TCell
-441,161,0,TCell
-86,490,0,TCell
195,-38,0,TCell
0,365,0,TCell
-49,242,0,TCell
-14,349,0,TCell
-206,-425,0,TCell
-367,300,0,TCell
-420,-196,0,TCell
-446,131,0,TCell
209,144,0,TCell
-341,-128,0,TCell
-463,453,0,TCell
-46,284,0,TCell
-283,-285,0,TCell
-10,-64,0,TCell
167,79,0,TCell
-75,-368,0,TCell
-292,-160,0,TCell
42,269,0,TCell
265,-146,0,TCell
476,32,0,TCell
-168,242,0,TCell
124,102,0,TCell
-66,-427,0,TCell
381,-428,0,TCell
202,-143,0,TCell
-137,318,0,TCell
-372,-322,0,TCell
-325,180,0,TCell
-242,291,0,TCell
419,324,0,TCell
-375,494,0,TCell
220,398,0,TCell
-166,-463,0,TCell
423,-74,0,TCell
-414,396,0,TCell
-259,259,0,TCell
33,433,0,TCell
31,-64,0,TCell
-4,209,0,TCell
478,-192,0,TCell
-386,107,0,TCell
291,-405,0,TCell
467,146,0,TCell
-468,238,0,TCell
32,-323,0,TCell
37,37,0,TCell
371,-457,0,TCell
-479,284,0,TCell
-478,-60,0,TCell
-136,8,0,TCell
-73,-61,0,TCell
-208,-9,0,TCell
-276,-198,0,TCell
-498,408,0,TCell
-249,38,0,TCell
-72,-125,0,TCell
-429,-294,0,TCell
-194,-279,0,TCell
-349,-190,0,TCell
356,-149,0,TCell
-146,272,0,TCell
-288,405,0,TCell
391,191,0,TCell
491,-64,0,TCell
80,-361,0,TCell
403,427,0,TCell
-298,21,0,TCell
-481,21,0,TCell
191,244,0,TCell
223,-391,0,TCell
230,454,0,TCell
170,75,0,TCell
-115,331,0,TCell
-297,126,0,TCell
229,-21,0,TCell
-257,-469,0,TCell
240,-1,0,TCell
-309,56,0,TCell
275,292,0,TCell
134,371,0,TCell
-494,43,0,TCell
27,172,0,TCell
71,-157,0,TCell
-490,36,0,TCell
-170,-17,0,TCell
-256,65,0,TCell
-29,-21,0,TCell
215,-154,0,TCell
458,-371,0,TCell
-88,354,0,TCell
459,193,0,TCell
339,-418,0,TCell
-306,232,0,TCell
-320,497,0,TCell
-258,381,0,TCell
-159,-80,0,TCell
383,-203,0,TCell
-459,375,0,TCell
390,137,0,TCell
317,279,0,TCell
-39,-246,0,TCell
-94,152,0,TCell
9,-220,0,TCell
-493,-229,0,TCell
470,-24,0,TCell
-397,-391,0,TCell
58,453,0,TCell
94,259,0,TCell
469,-28,0,TCell
239,312,0,TCell
-14,413,0,TCell
30,-380,0,TCell
229,169,0,TCell
-303,159,0,TCell
423,-372,0,TCell
-214,24,0,TCell
270,209,0,TCell
212,-444,0,TCell
-106,-181,0,TCell
347,-441,0,TCell
142,88,0,TCell
46,285,0,TCell
-143,-441,0,TCell
-217,-39,0,TCell
367,-146,0,TCell
-246,497,0,TCell
-456,218,0,TCell
16,-243,0,TCell
10,78,0,TCell
-372,42,0,TCell
234,-78,0,TCell
-291,400,0,TCell
-124,-464,0,TCell
209,-344,0,TCell
423,-411,0,TCell
-143,117,0,TCell
365,216,0,TCell
455,76,0,TCell
377,-121,0,TCell
422,125,0,TCell
-418,29,0,TCell
197,-220,0,TCell
213,-334,0,TCell
-286,-247,0,TCell
-205,480,0,TCell
488,286,0,TCell
-144,122,0,TCell
137,318,0,TCell
-423,-166,0,TCell
120,341,0,TCell
496,190,0,TCell
48,248,0,TCell
-235,-460,0,TCell
184,-211,0,TCell
-428,42,0,TCell
67,-437,0,TCell
-413,85,0,TCell
66,473,0,TCell
-324,260,0,TCell
-99,191,0,TCell
